player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Kamil Glik,DF,Poland,34-311,1988,4.0,0,3,0,0.0,0.75,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Kamil Grosicki,MF,Poland,34-186,1988,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kaoru Mitoma,MF,Japan,25-205,1997,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,21.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Karim Ansarifard,FW,IR Iran,32-252,1990,0.4,0,1,0,0.0,2.57,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Karim Boudiaf,MF,Qatar,32-086,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karl Toko Ekambi,FW,Cameroon,30-088,1992,1.8,0,2,1,50.0,1.08,0.54,0.00,0.00,15.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Karol Świderski,FW,Poland,25-322,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kasper Dolberg,FW,Denmark,25-066,1997,1.3,0,3,1,33.3,2.37,0.79,0.00,0.00,8.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Kasper Schmeichel,GK,Denmark,36-036,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keanu Baccus,MF,Australia,24-187,1998,1.3,0,1,0,0.0,0.79,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.05,0.0,0.0
Kellyn Acosta,MF,United States,27-140,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kendall Waston,DF,Costa Rica,34-344,1988,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,10.5,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Kenneth Taylor,MF,Netherlands,20-209,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin De Bruyne,FW,Belgium,31-166,1991,3.0,0,7,2,28.6,2.33,0.67,0.00,0.00,23.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Kevin Rodríguez,FW,Ecuador,22-282,2000,0.0,0,2,1,50.0,90.00,45.00,0.00,0.00,,,0,0,,,,,
Kevin Álvarez,DF,Mexico,23-330,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keylor Navas,GK,Costa Rica,35-361,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Keysher Fuller,DF,Costa Rica,28-153,1994,2.8,1,3,2,66.7,1.07,0.71,0.33,0.50,15.5,0,0,0,0.4,0.4,0.13,+0.6,+0.6
Kieffer Moore,FW,Wales,30-125,1992,2.5,0,6,2,33.3,2.40,0.80,0.00,0.00,16.2,0,0,0,1.0,1.0,0.17,-1.0,-1.0
Kieran Trippier,DF,England,32-083,1990,2.3,0,1,0,0.0,0.44,0.00,0.00,,27.2,1,0,0,0.0,0.0,0.05,0.0,0.0
Kim Jin-su,DF,Korea Republic,30-181,1992,3.5,0,4,0,0.0,1.14,0.00,0.00,,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Kim Min-jae,DF,Korea Republic,26-026,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Kim Moonhwan,DF,Korea Republic,27-132,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kim Seung-gyu,GK,Korea Republic,32-072,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kim Young-gwon,DF,Korea Republic,32-287,1990,3.9,1,2,1,50.0,0.51,0.26,0.50,1.00,10.9,0,0,0,0.8,0.8,0.38,+0.2,+0.2
Kingsley Coman,FW,France,26-181,1996,1.3,0,1,0,0.0,0.76,0.00,0.00,,10.7,0,0,0,0.2,0.2,0.16,-0.2,-0.2
Ko Itakura,DF,Japan,25-318,1997,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,14.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Koke,MF,Spain,30-337,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Krystian Bielik,MF,Poland,24-341,1998,2.4,0,2,0,0.0,0.83,0.00,0.00,,15.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Krzysztof Piątek,FW,Poland,27-163,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Krépin Diatta,FW,Senegal,23-289,1999,2.0,0,3,1,33.3,1.49,0.50,0.00,0.00,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Kudus Mohammed,FW,Ghana,22-131,2000,2.7,2,8,4,50.0,2.91,1.46,0.25,0.50,21.8,0,0,0,0.8,0.8,0.10,+1.2,+1.2
Kwon Chang-hoon,FW,Korea Republic,28-164,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kwon Kyung-won,DF,Korea Republic,30-314,1992,1.0,0,1,0,0.0,0.99,0.00,0.00,,33.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Kye Rowles,DF,Australia,24-170,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kyle Walker,DF,England,32-197,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kylian Mbappé,FW,France,23-356,1998,4.3,5,22,10,45.5,5.10,2.32,0.23,0.50,15.9,1,0,0,2.8,2.8,0.13,+2.2,+2.2
Lautaro Martínez,FW,Argentina,25-111,1997,2.5,0,10,3,30.0,4.04,1.21,0.00,0.00,12.8,0,0,0,1.3,1.3,0.13,-1.3,-1.3
Lawrence Ati-Zigi,GK,Ghana,26-012,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Leander Dendoncker,DF,Belgium,27-240,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Leandro Paredes,MF,Argentina,28-165,1994,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Leandro Trossard,FW,Belgium,28-007,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lee Jae-sung,MF,Korea Republic,30-123,1992,2.3,0,1,0,0.0,0.43,0.00,0.00,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Lee Kangin,MF,Korea Republic,21-295,2001,1.6,0,5,1,20.0,3.06,0.61,0.00,0.00,25.9,2,0,0,0.2,0.2,0.03,-0.2,-0.2
Leon Goretzka,MF,Germany,27-308,1995,1.8,0,4,1,25.0,2.26,0.57,0.00,0.00,16.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Leroy Sané,FW,Germany,26-334,1996,1.2,0,3,0,0.0,2.43,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Liam Millar,DF,Canada,23-075,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lionel Messi,FW,Argentina,35-170,1987,5.3,4,22,9,40.9,4.12,1.69,0.09,0.22,21.3,3,2,3,3.8,1.4,0.07,+0.2,+0.6
Lisandro Martínez,DF,Argentina,24-327,1998,3.0,0,1,0,0.0,0.33,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Lovro Majer,MF,Croatia,24-328,1998,0.6,1,3,1,33.3,4.91,1.64,0.33,1.00,21.8,0,0,0,0.7,0.7,0.22,+0.3,+0.3
Loïs Openda,FW,Belgium,22-298,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Cavallini,FW,Canada,29-348,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Hernández,DF,France,26-300,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Paquetá,MF,Brazil,25-106,1997,3.5,1,4,4,100.0,1.15,1.15,0.25,0.25,11.7,0,0,0,0.8,0.8,0.21,+0.2,+0.2
Luis Chávez,MF,Mexico,26-330,1996,3.0,1,10,4,40.0,3.33,1.33,0.10,0.25,31.4,4,0,0,0.3,0.3,0.03,+0.7,+0.7
Luis Suárez,FW,Uruguay,35-321,1987,1.6,0,2,1,50.0,1.23,0.62,0.00,0.00,7.5,0,0,0,0.4,0.4,0.21,-0.4,-0.4
Luka Jović,FW,Serbia,24-353,1997,0.4,0,2,0,0.0,5.00,0.00,0.00,,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Luka Modrić,MF,Croatia,37-093,1985,5.4,0,4,3,75.0,0.75,0.56,0.00,0.00,19.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Lukas Klostermann,DF,Germany,26-191,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luke Shaw,DF,England,27-152,1995,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,23.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Luuk de Jong,FW,Netherlands,32-106,1990,0.6,0,1,0,0.0,1.58,0.00,0.00,,13.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Majid Hosseini,DF,IR Iran,26-174,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manuel Akanji,DF,Switzerland,27-145,1995,4.0,1,4,1,25.0,1.00,0.25,0.25,1.00,12.3,1,0,0,1.1,1.1,0.28,-0.1,-0.1
Manuel Neuer,GK,Germany,36-259,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcelo Brozović,MF,Croatia,30-025,1992,5.6,0,4,2,50.0,0.72,0.36,0.00,0.00,17.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5
Marco Asensio,FW,Spain,26-324,1996,2.5,1,10,2,20.0,3.93,0.79,0.10,0.50,20.1,0,0,0,1.2,1.2,0.12,-0.2,-0.2
Marcos Acuña,DF,Argentina,31-044,1991,3.5,0,2,0,0.0,0.57,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Marcos Llorente,DF,Spain,27-315,1995,1.3,0,1,0,0.0,0.75,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Marcus Rashford,FW,England,25-041,1997,1.6,3,11,6,54.5,7.07,3.86,0.27,0.50,16.6,2,0,0,1.6,1.6,0.15,+1.4,+1.4
Marcus Thuram,FW,France,25-127,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mario Götze,MF,Germany,30-191,1992,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,14.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Mario Pašalić,FW,Croatia,27-305,1995,2.2,0,2,0,0.0,0.90,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Mark-Anthony Kaye,MF,Canada,28-009,1994,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.04,0.0,0.0
Marko Grujić,MF,Serbia,26-242,1996,0.1,0,1,1,100.0,6.92,6.92,0.00,0.00,29.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Marko Livaja,FW,Croatia,29-107,1993,1.7,1,5,4,80.0,2.87,2.29,0.20,0.25,11.8,0,0,0,0.8,0.8,0.15,+0.2,+0.2
Marquinhos,DF,Brazil,28-211,1994,4.7,0,2,0,0.0,0.42,0.00,0.00,,10.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Marten de Roon,MF,Netherlands,31-257,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Martin Braithwaite,FW,Denmark,31-189,1991,1.1,0,1,0,0.0,0.87,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Martin Hongla,MF,Cameroon,24-270,1998,1.3,0,1,1,100.0,0.74,0.74,0.00,0.00,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Martinelli,FW,Brazil,21-176,2001,1.3,0,4,3,75.0,3.19,2.39,0.00,0.00,13.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5
Martín Cáceres,DF,Uruguay,35-248,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mason Mount,MF,England,23-335,1999,2.1,0,4,1,25.0,1.94,0.48,0.00,0.00,23.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Mateo Kovačić,MF,Croatia,28-219,1994,5.1,0,2,1,50.0,0.40,0.20,0.00,0.00,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Matheus Nunes,MF,Portugal,24-106,1998,0.8,0,1,0,0.0,1.23,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Mathew Leckie,MF,Australia,31-310,1991,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,13.6,0,0,0,0.1,0.1,0.15,+0.9,+0.9
Mathew Ryan,GK,Australia,30-247,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mathias Jensen,MF,Denmark,26-344,1996,0.9,0,2,1,50.0,2.14,1.07,0.00,0.00,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Mathías Olivera,DF,Uruguay,25-041,1997,2.8,0,2,0,0.0,0.71,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Matt Turner,GK,United States,28-170,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matthias Ginter,DF,Germany,28-326,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matthijs de Ligt,DF,Netherlands,23-121,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matty Cash,DF,Poland,25-126,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Mattéo Guendouzi,FW,France,23-241,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matías Vecino,MF,Uruguay,31-109,1991,2.2,0,1,1,100.0,0.46,0.46,0.00,0.00,10.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Matías Viña,DF,Uruguay,25-032,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxi Gómez,FW,Uruguay,26-119,1996,0.3,0,2,1,50.0,6.00,3.00,0.00,0.00,26.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Maya Yoshida,DF,Japan,34-109,1988,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mehdi Taremi,FW,IR Iran,30-146,1992,3.0,2,5,1,20.0,1.67,0.33,0.20,1.00,16.0,0,1,1,1.3,0.6,0.11,+0.7,+0.4
Mehdi Torabi,MF,IR Iran,28-092,1994,0.7,0,2,0,0.0,2.90,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Memphis,FW,Netherlands,28-301,1994,3.3,1,10,5,50.0,3.03,1.52,0.10,0.20,15.0,0,0,0,1.5,1.5,0.15,-0.5,-0.5
Meshaal Barsham,GK,Qatar,24-300,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michael Estrada,FW,Ecuador,26-248,1996,2.5,0,3,0,0.0,1.20,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Michał Skóraś,MF,Poland,22-299,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Michel Aebischer,MF,Switzerland,25-339,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michy Batshuayi,FW,Belgium,29-070,1993,1.7,1,6,2,33.3,3.58,1.19,0.17,0.50,15.4,0,0,0,0.8,0.8,0.13,+0.2,+0.2
Miki Yamane,DF,Japan,28-354,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mikkel Damsgaard,MF,Denmark,22-161,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Milad Mohammadi,DF,IR Iran,29-073,1993,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan Borjan,GK,Canada,35-049,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Miloš Degenek,DF,Australia,28-227,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Miloš Veljković,DF,Serbia,27-076,1995,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mislav Oršić,FW,Croatia,29-347,1992,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Mitchell Duke,FW,Australia,31-327,1991,3.0,1,7,4,57.1,2.33,1.33,0.14,0.25,17.6,0,0,0,0.4,0.4,0.05,+0.6,+0.6
Mohamed Ali Ben Romdhane,MF,Tunisia,23-096,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mohamed Dräger,DF,Tunisia,26-169,1996,1.5,0,4,0,0.0,2.73,0.00,0.00,,25.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Mohamed Kanno,MF,Saudi Arabia,28-080,1994,3.0,0,6,1,16.7,2.00,0.33,0.00,0.00,20.3,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Mohammed Al-Breik,DF,Saudi Arabia,30-087,1992,0.7,0,2,1,50.0,2.77,1.38,0.00,0.00,20.4,0,0,0,0.4,0.0,0.01,-0.4,0.0
Mohammed Al-Owais,GK,Saudi Arabia,31-062,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mohammed Muntari,FW,Qatar,28-356,1993,0.7,1,3,1,33.3,4.29,1.43,0.33,1.00,13.7,0,0,0,0.2,0.2,0.07,+0.8,+0.8
Mohammed Salisu,DF,Ghana,23-238,1999,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,9.3,0,0,0,0.8,0.8,0.38,+0.2,+0.2
Mohammed Waad,MF,Qatar,23-084,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Moisés Caicedo,MF,Ecuador,21-039,2001,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,16.0,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Montassar Talbi,DF,Tunisia,24-199,1998,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,33.7,0,0,0,0.0,0.0,0.01,0.0,0.0
Morteza Pouraliganji,DF,IR Iran,30-236,1992,3.0,0,2,0,0.0,0.67,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Moumi Ngamaleu,FW,Cameroon,28-155,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Munir,GK,Morocco,33-215,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Musab Kheder,DF,Qatar,29-076,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Na Sang-ho,FW,Korea Republic,26-121,1996,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Nader Ghandri,DF,Tunisia,27-296,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nahuel Molina,DF,Argentina,24-249,1998,4.4,1,2,1,50.0,0.46,0.23,0.50,1.00,16.2,0,0,0,0.5,0.5,0.23,+0.5,+0.5
Nampalys Mendy,MF,Senegal,30-171,1992,3.0,0,2,0,0.0,0.66,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Nasser Al-Dawsari,FW,Saudi Arabia,23-357,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathan Aké,DF,Netherlands,27-296,1995,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nathaniel Atkinson,DF,Australia,23-181,1999,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nawaf Al Abed,MF,Saudi Arabia,32-319,1990,1.0,0,2,0,0.0,2.05,0.00,0.00,,21.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1
Nayef Aguerd,DF,Morocco,26-256,1996,3.9,0,1,0,0.0,0.25,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Naïm Sliti,MF,Tunisia,30-137,1992,1.3,0,1,0,0.0,0.79,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Neco Williams,DF,Wales,21-242,2001,2.3,0,3,0,0.0,1.32,0.00,0.00,,26.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Nemanja Gudelj,MF,Serbia,31-025,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nemanja Maksimović,MF,Serbia,27-319,1995,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nemanja Radonjić,DF,Serbia,26-299,1996,0.7,0,2,0,0.0,3.00,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Neymar,MF,Brazil,30-309,1992,3.1,2,11,6,54.5,3.55,1.94,0.09,0.17,19.2,3,1,1,2.7,1.9,0.18,-0.7,-0.9
Niclas Füllkrug,FW,Germany,29-305,1993,0.8,2,8,3,37.5,10.43,3.91,0.25,0.67,10.0,0,0,0,2.2,2.2,0.27,-0.2,-0.2
Nico Elvedi,DF,Switzerland,26-072,1996,2.0,0,1,0,0.0,0.50,0.00,0.00,,9.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Nico Schlotterbeck,DF,Germany,23-010,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nico Williams,FW,Spain,20-152,2002,1.6,0,1,0,0.0,0.62,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Nicola Zalewski,MF,Poland,20-322,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolas Jackson,FW,Senegal,21-174,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolas Nkoulou,DF,Cameroon,32-259,1990,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,12.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Nicolás De La Cruz,MF,Uruguay,25-193,1997,0.4,0,1,1,100.0,2.37,2.37,0.00,0.00,32.4,1,0,0,0.0,0.0,0.04,0.0,0.0
Nicolás Otamendi,DF,Argentina,34-302,1988,5.3,0,1,0,0.0,0.19,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0
Nicolás Tagliafico,DF,Argentina,30-102,1992,1.8,0,3,1,33.3,1.65,0.55,0.00,0.00,11.3,0,0,0,1.0,1.0,0.34,-1.0,-1.0
Niklas Süle,DF,Germany,27-099,1995,3.0,0,1,0,0.0,0.33,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Nikola Milenković,DF,Serbia,25-060,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Nikola Vlašić,FW,Croatia,25-068,1997,1.5,0,3,1,33.3,2.01,0.67,0.00,0.00,12.5,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Noa Lang,MF,Netherlands,23-177,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Noah Okafor,FW,Switzerland,22-201,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Nouhou Tolo,DF,Cameroon,25-171,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Noussair Mazraoui,DF,Morocco,25-027,1997,3.6,0,4,2,50.0,1.13,0.56,0.00,0.00,24.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Nuno Mendes,DF,Portugal,20-175,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Néstor Araujo,DF,Mexico,31-104,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Olivier Giroud,FW,France,36-072,1986,3.5,4,13,6,46.2,3.71,1.71,0.31,0.67,10.5,0,0,0,3.1,3.1,0.24,+0.9,+0.9
Olivier Ntcham,MF,Cameroon,26-305,1996,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,30.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Orbelín Pineda,MF,Mexico,26-262,1996,0.8,0,4,1,25.0,4.74,1.18,0.00,0.00,15.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Osman Bukari,MF,Ghana,23-363,1998,0.7,1,3,1,33.3,4.58,1.53,0.33,1.00,17.6,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Otávio,MF,Portugal,27-305,1995,2.2,0,3,2,66.7,1.38,0.92,0.00,0.00,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ousmane Dembélé,FW,France,25-210,1997,3.5,0,8,2,25.0,2.29,0.57,0.00,0.00,20.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Pablo Sarabia,FW,Spain,30-214,1992,0.0,0,1,0,0.0,30.00,0.00,0.00,,4.7,0,0,0,0.1,0.1,0.11,-0.1,-0.1
